Stop ID,Link ID,X,Y
3809190675,-361600892,739803.24,5689200.859999999
69432681,138203253#1,740530.45,5690391.6
196135640,18950219,738538.96,5687912.87
196135642,-59295374,738558.64,5687786.68
2850678734,22617126#6,739703.28,5688030.89
196137954,18950318,738655.13,5687903.62
69430489,-26773965#0,741841.06,5690427.85
250303842,-23719858#2,741472.5700000001,5689503.26
4560839942,672176863#1,739781.54,5689120.55
cluster_287635508_69430493,-26262469#0,741515.64,5690295.029999999
250303848,363097549#2,741818.12,5689423.09
